program,dataset,iteration,time
bfs_cuda,graph_g8000_s100.txt,2,3.464619
bfs_cuda,graph_g8000_s100.txt,3,4.122656
bfs_cuda,graph_g8000_s100.txt,4,2.960516
bfs_cuda,graph_g8000_s100.txt,5,3.700266
bfs_cuda,graph_g16000_s100.txt,1,18.081104
bfs_cuda,graph_g16000_s100.txt,2,19.917449
bfs_cuda,graph_g16000_s100.txt,3,13.621146
bfs_cuda,graph_g16000_s100.txt,4,14.513857
bfs_cuda,graph_g16000_s100.txt,5,12.073004
bfs_openmp,graph_g1000_s100.txt,1,2.900506
bfs_openmp,graph_g1000_s100.txt,2,2.946770
bfs_openmp,graph_g1000_s100.txt,3,2.971292
bfs_openmp,graph_g1000_s100.txt,4,2.920607
bfs_openmp,graph_g1000_s100.txt,5,2.905835
bfs_openmp,graph_g2000_s100.txt,1,5.013364
bfs_openmp,graph_g2000_s100.txt,2,4.961599
bfs_openmp,graph_g2000_s100.txt,3,4.910068
bfs_openmp,graph_g2000_s100.txt,4,4.865890
bfs_openmp,graph_g2000_s100.txt,5,4.984720
bfs_openmp,graph_g4000_s100.txt,1,10.275306
bfs_openmp,graph_g4000_s100.txt,2,10.369968
bfs_openmp,graph_g4000_s100.txt,3,10.198169
bfs_openmp,graph_g4000_s100.txt,4,10.247675
bfs_openmp,graph_g4000_s100.txt,5,10.380865
bfs_openmp,graph_g8000_s100.txt,1,20.272529
bfs_openmp,graph_g8000_s100.txt,2,19.934065
bfs_openmp,graph_g8000_s100.txt,3,19.904379
bfs_openmp,graph_g8000_s100.txt,4,20.682772
bfs_openmp,graph_g8000_s100.txt,5,20.435931
bfs_openmp,graph_g16000_s100.txt,1,51.753198
bfs_openmp,graph_g16000_s100.txt,2,53.235091
bfs_openmp,graph_g16000_s100.txt,3,50.995342
bfs_openmp,graph_g16000_s100.txt,4,49.493282
bfs_openmp,graph_g16000_s100.txt,5,53.031329
nqueens_seq,6,1,0.0207628
nqueens_seq,6,2,0.0215603
nqueens_seq,6,3,0.0183996
nqueens_seq,6,4,0.0178974
nqueens_seq,6,5,0.0205371
nqueens_seq,7,1,0.230094
nqueens_seq,7,2,0.212401
nqueens_seq,7,3,0.206029
nqueens_seq,7,4,0.212329
nqueens_seq,7,5,0.221052
nqueens_seq,8,1,4.18382
nqueens_seq,8,2,4.26086
nqueens_seq,8,3,4.15977
nqueens_seq,8,4,4.02492
nqueens_seq,8,5,4.13455
nqueens_seq,9,1,99.9274
nqueens_seq,9,2,98.9211
nqueens_seq,9,3,99.0196
nqueens_seq,9,4,99.1838
nqueens_seq,9,5,99.9117
nqueens_seq,10,1,2830.08
nqueens_seq,10,2,2839.76
nqueens_seq,10,3,2840.44
nqueens_seq,10,4,2832.58
nqueens_seq,10,5,2828.21
nqueens_cuda,6,1,0.18
nqueens_cuda,6,2,0.18
nqueens_cuda,6,3,0.19
nqueens_cuda,6,4,0.17
nqueens_cuda,6,5,0.18
nqueens_cuda,7,1,0.19
nqueens_cuda,7,2,0.19
nqueens_cuda,7,3,0.17
nqueens_cuda,7,4,0.20
nqueens_cuda,7,5,0.18
nqueens_cuda,8,1,0.21
nqueens_cuda,8,2,0.20
nqueens_cuda,8,3,0.24
nqueens_cuda,8,4,0.23
nqueens_cuda,8,5,0.21
nqueens_cuda,9,1,0.98
nqueens_cuda,9,2,0.98
nqueens_cuda,9,3,0.98
nqueens_cuda,9,4,0.97
nqueens_cuda,9,5,0.96
nqueens_cuda,10,1,28.12
nqueens_cuda,10,2,28.23
nqueens_cuda,10,3,28.10
nqueens_cuda,10,4,28.17
nqueens_cuda,10,5,28.08
nqueens_openmp,6,1,0.389136
nqueens_openmp,6,2,0.336111
nqueens_openmp,6,3,0.293707
nqueens_openmp,6,4,0.321016
nqueens_openmp,6,5,0.316296
nqueens_openmp,7,1,0.312538
nqueens_openmp,7,2,0.355283
nqueens_openmp,7,3,0.350228
nqueens_openmp,7,4,0.332047
nqueens_openmp,7,5,0.343825
nqueens_openmp,8,1,0.478631
nqueens_openmp,8,2,0.487087
nqueens_openmp,8,3,0.491204
nqueens_openmp,8,4,0.47973
nqueens_openmp,8,5,0.470069
nqueens_openmp,9,1,5.19184
nqueens_openmp,9,2,5.10808
nqueens_openmp,9,3,5.16019
nqueens_openmp,9,4,5.10094
nqueens_openmp,9,5,5.09482
nqueens_openmp,10,1,140.273
nqueens_openmp,10,2,140.247
nqueens_openmp,10,3,140.312
nqueens_openmp,10,4,140.357
nqueens_openmp,10,5,140.336
warshall_seq,inputfile500.txt,1,0.59
warshall_seq,inputfile500.txt,2,0.58
warshall_seq,inputfile500.txt,3,0.58
warshall_seq,inputfile500.txt,4,0.58
warshall_seq,inputfile500.txt,5,0.67
warshall_seq,inputfile1000.txt,1,4.01
warshall_seq,inputfile1000.txt,2,4.00
warshall_seq,inputfile1000.txt,3,4.08
warshall_seq,inputfile1000.txt,4,4.00
warshall_seq,inputfile1000.txt,5,4.10
warshall_seq,inputfile2000.txt,1,31.64
warshall_seq,inputfile2000.txt,2,31.91
warshall_seq,inputfile2000.txt,3,31.64
warshall_seq,inputfile2000.txt,4,31.66
warshall_seq,inputfile2000.txt,5,31.75
warshall_seq,inputfile4000.txt,1,251.06
warshall_seq,inputfile4000.txt,2,251.97
warshall_seq,inputfile4000.txt,3,251.90
warshall_seq,inputfile4000.txt,4,252.22
warshall_seq,inputfile4000.txt,5,250.10
warshall_seq,inputfile8000.txt,1,2002.49
warshall_seq,inputfile8000.txt,2,2010.76
warshall_seq,inputfile8000.txt,3,1996.42
warshall_seq,inputfile8000.txt,4,2004.33
warshall_seq,inputfile8000.txt,5,2007.31
warshall_cuda,inputfile500.txt,1,0.12
warshall_cuda,inputfile500.txt,2,0.11
warshall_cuda,inputfile500.txt,3,0.12
warshall_cuda,inputfile500.txt,4,0.11
warshall_cuda,inputfile500.txt,5,0.12
warshall_cuda,inputfile1000.txt,1,0.49
warshall_cuda,inputfile1000.txt,2,0.49
warshall_cuda,inputfile1000.txt,3,0.50
warshall_cuda,inputfile1000.txt,4,0.51
warshall_cuda,inputfile1000.txt,5,0.49
warshall_cuda,inputfile2000.txt,1,2.30
warshall_cuda,inputfile2000.txt,2,2.29
warshall_cuda,inputfile2000.txt,3,2.31
warshall_cuda,inputfile2000.txt,4,2.29
warshall_cuda,inputfile2000.txt,5,2.29
warshall_cuda,inputfile4000.txt,1,9.15
warshall_cuda,inputfile4000.txt,2,9.14
warshall_cuda,inputfile4000.txt,3,9.15
warshall_cuda,inputfile4000.txt,4,9.14
warshall_cuda,inputfile4000.txt,5,9.15
warshall_cuda,inputfile8000.txt,1,37.11
warshall_cuda,inputfile8000.txt,2,37.06
warshall_cuda,inputfile8000.txt,3,37.09
warshall_cuda,inputfile8000.txt,4,37.06
warshall_cuda,inputfile8000.txt,5,37.06
